longitude,latitude,gravity_reading
-106.6753219,31.93753527,355.6039784
-106.6797143,31.93753947,355.1955777
-106.6888747,31.94488105,354.1159934
-106.6924692,31.94511785,353.7082832
-106.6796154,31.94651051,355.5438634
-106.6751615,31.94640933,356.1026773
-106.6708172,31.94705366,356.9554927
-106.6668349,31.94586172,357.6301058
-106.6794807,31.88481708,361.953828
-106.6798016,31.88861329,361.4809297
-106.6797701,31.89181924,360.2125411
-106.6835431,31.89193794,359.8528021
-106.684986,31.88869302,360.2998682
-106.6793721,31.89575273,360.0052434
-106.6801513,31.90189326,359.321659
-106.6840272,31.90100483,358.8686185
-106.6843389,31.90402293,358.3950267
-106.6885456,31.90433034,357.8900506
-106.6931962,31.9045646,357.5652642
-106.6890757,31.90704963,357.1945128
-106.6929625,31.90771817,356.9739351
-106.6886402,31.90008904,358.5783607
-106.7021399,31.92676926,353.4574672
-106.6978026,31.92674542,353.3393935
-106.6977168,31.93047631,352.9726468
-106.6977566,31.93436915,352.8315985
-106.6976648,31.93802899,352.8222795
-106.6984824,31.94096259,352.981327
-106.6528176,31.88165507,366.9291235
-106.6572969,31.88109086,366.229747
-106.6618192,31.88012644,365.6268911
-106.6566427,31.88923385,360.3422993
-106.6588492,31.89251421,364.0728635
-106.6620574,31.89251843,363.6773595
-106.6655186,31.89252145,363.0613276
-106.6614435,31.90091867,362.5798849
-106.6618323,31.92316285,359.694459
-106.661803,31.9264004,359.4390158
-106.6570416,31.94532784,359.9112294
-106.652756,31.94479253,360.7825013
-106.6475039,31.94483456,361.8688615
-106.6426517,31.9227153,363.719441
-106.6439468,31.9267695,363.1581627
-106.6426636,31.92927758,363.4218475
-106.6406937,31.93120603,363.7618846
-106.6428474,31.93477787,363.1352279
-106.6456043,31.93821268,362.3812724
-106.639124,31.94287471,363.8429626
-106.6391824,31.94593919,363.7601354
-106.6349674,31.942037,364.6050337
-106.6341273,31.93811911,365.1091867
-106.6348286,31.93398834,365.1095524
-106.643156,31.91914464,364.2003131
-106.6483745,31.92671113,362.3214837
-106.652795,31.92698508,361.1516849
-106.6531919,31.93067536,360.8449054
-106.6530583,31.93449478,360.7151416
-106.6545798,31.93860144,360.3180996
-106.6552186,31.94206897,360.200038
-106.6505033,31.94155693,361.3036617
-106.6467105,31.94157224,362.1054957
-106.6438879,31.88584903,367.9241127
-106.6439585,31.88976691,367.192176
-106.6425828,31.89263187,366.9217257
-106.643819,31.89611301,366.2578007
-106.6477255,31.89257794,366.2327978
-106.6498186,31.895977,365.4406611
-106.6524713,31.89704681,364.8899386
-106.6526668,31.90096449,364.2285072
-106.6481748,31.90092608,364.9106313
-106.6438666,31.90092562,365.6083426
-106.6354587,31.90033467,367.3683996
-106.6354773,31.8966863,367.8667419
-106.6354762,31.89264865,368.5817694
-106.6354952,31.88881468,368.8055866
-106.6354921,31.88503241,369.0983996
-106.6348687,31.88102212,369.5485035
-106.6393174,31.88100958,369.1955395
-106.6431768,31.88116445,368.754668
