longitudeTop,latitudeTop,elevationTop,longitudeBase,latitudeBase,elevationBase
253.7921,31.626094,801.959279,253.7921,31.626094,0
253.79345,31.62709,805.494959,253.79345,31.62709,0
253.7949,31.62816,808.908719,253.7949,31.62816,0
253.79617,31.629098,811.377599,253.79617,31.629098,0
253.79757,31.630131,814.059839,253.79757,31.630131,0
253.7989,31.631113,816.803039,253.7989,31.631113,0
253.80026,31.632116,819.820559,253.80026,31.632116,0
253.80133,31.632906,822.289439,253.80133,31.632906,0
253.8029,31.634065,825.581279,253.8029,31.634065,0
253.80424,31.635054,827.379599,253.80424,31.635054,0
253.80534,31.635866,828.080639,253.80534,31.635866,0
253.80672,31.636885,828.050159,253.80672,31.636885,0
253.80809,31.637896,827.196719,253.80809,31.637896,0
253.80945,31.6389,826.404239,253.80945,31.6389,0
253.81082,31.639911,826.617599,253.81082,31.639911,0
253.81218,31.640915,826.160399,253.81218,31.640915,0
253.81342,31.64183,820.673999,253.81342,31.64183,0
253.8145,31.642627,808.360079,253.8145,31.642627,0
253.81532,31.643232,796.991039,253.81532,31.643232,0
253.81646,31.644074,785.835359,253.81646,31.644074,0
253.81776,31.645033,780.653759,253.81776,31.645033,0
253.81912,31.646037,779.038319,253.81912,31.646037,0
253.82046,31.647026,778.306799,253.82046,31.647026,0
253.82178,31.648,778.367759,253.82178,31.648,0
253.82309,31.648967,779.769839,253.82309,31.648967,0
253.82441,31.649941,782.482559,253.82441,31.649941,0
253.82574,31.650923,785.743919,253.82574,31.650923,0
253.82706,31.651897,788.822399,253.82706,31.651897,0
253.82838,31.652872,791.474159,253.82838,31.652872,0
253.82969,31.653839,793.668719,253.82969,31.653839,0
253.831,31.654805,796.442399,253.831,31.654805,0
253.83234,31.655794,801.715439,253.83234,31.655794,0
253.83343,31.656599,807.689519,253.83343,31.656599,0
253.83471,31.657544,811.773839,253.83471,31.657544,0
253.83583,31.65837,800.740079,253.83583,31.65837,0
253.83636,31.658762,786.719279,253.83636,31.658762,0
253.83715,31.659345,772.332719,253.83715,31.659345,0
253.83861,31.660422,772.210799,253.83861,31.660422,0
253.83971,31.661234,778.276319,253.83971,31.661234,0
253.84082,31.662054,784.494239,253.84082,31.662054,0
